,Unnamed: 0,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_excess_noise,visibility_periods_used,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_bp_rp_excess_factor,g_mag_error,labels,is_core,distance_pc,PMemb,gmm_label,estimated_mass,galactic_xyz_pc,relpos_cluster,r_cluster,radius,x_pc,y_pc,z_pc,proper_motion_scalar,lambd_av,lambd_av_rad
10,860,342457091339366656,29.23436628549603,0.030069012,37.09988732680021,0.029441908,0.6919685480143442,0.033964854,20.373075,2.651211,-2.5708224302585894,0.037658613,-0.6479139842083818,0.041144997,-0.033445377,0.22228846,-0.25486705,0.1841038,-0.22462526,0.13411629,-0.17404279,0.023958374,0.20638292,0.12319904,0.0,13,0.95935947,2517.5486,15.505238,211.1522,15.848957,375.4494,14.982071,0.86688614,21.16368041214156,,1.2099427,0.00043126722,0,False,1445.1523886014404,0.9996998216576553,1,1.0285672565633728,[-968.64677155  897.74233948 -586.72612875],[-538.64677155 7758.74233948 3225.27387125],8419.656440703902,186.88855764783693,5860.048386029527,3279.6846447381868,5078.790813170786,2.651211138112817,40.633363288475486,0.7091859755428878
11,862,342457091339367040,29.231272147003928,0.032109722,37.09714569019359,0.043306626,0.7252432794524812,0.04229395,17.147682,5.137103,-2.358186131235951,0.045997,-4.563856272292265,0.07024355,0.16864088,0.095065854,-0.037559096,0.19480978,-0.46594343,0.358471,0.4795307,-0.19569084,-0.23760557,0.50939393,0.0,14,1.0061189,2136.5847,15.731486,234.7343,16.103142,352.24066,15.19061,0.91253185,39.1312152075356,,1.207728,0.00050816435,0,True,1378.8476616494054,0.9966864501956532,1,0.9714005950458929,[-924.15424065  856.55980575 -559.87955196],[-494.15424065 7717.55980575 3252.12044804],8389.350700583289,156.5828175272236,5839.343479826058,3267.6826573427907,5060.190011540217,5.13710287065531,40.629741405516135,0.7091227617601251
12,863,342457091339367296,29.236388882036984,0.02408022,37.09644168016432,0.031408437,0.725266072653505,0.030578153,23.71844,2.6607764,-2.554175140416752,0.034922943,-0.7456009485982971,0.053610217,0.22011703,0.08298732,-0.061386775,0.13564123,-0.38247734,0.28066745,0.39386362,-0.19210546,-0.2540601,0.51721954,0.120932996,14,1.1560858,2506.9712,14.720409,520.8325,15.027221,343.39124,14.244668,0.7825527,20.26474292794664,,1.199087,0.0004330868,0,False,1378.8043281017349,0.9997155034265744,1,1.1591373528251867,[-924.19573181  856.46315507 -559.85220236],[-494.19573181 7717.46315507 3252.14779764],8389.274835701677,156.50695264561182,5839.05309191969,3268.204933061875,5060.062032642539,2.660776469843646,40.63356961596475,0.7091895766369127
13,886,342457572375706752,29.105551470957447,0.037051253,37.08554122276141,0.045175843,0.7782852310058734,0.047758736,16.296186,3.461301,-2.5928150921568456,0.052529853,-2.293014344228969,0.075883694,0.2483539,0.090552755,-0.13908206,0.068064585,-0.27788064,0.0037123421,-0.052849174,0.2154509,0.2931497,0.532431,0.081411235,13,1.0163382,1822.239,15.937692,272.60678,16.288158,224.49377,15.412356,0.87580204,24.66127906487123,,1.2080318,0.0005958253,0,True,1284.8759814028301,0.9995339596728304,1,0.9610745469872428,[-859.48982936  799.47698786 -522.51322155],[-429.48982936 7660.47698786 3289.48677845],8347.939414051465,115.17153099539973,5818.531079337269,3239.2913111387006,5033.863361379757,3.461301039342883,40.52374472572348,0.7072727707015612
14,890,342457606735444608,29.143780858991818,0.018168483,37.08885088167752,0.018553173,0.9479527974049252,0.020700745,45.79317,0.9567312,0.4175664432685247,0.023795204,-0.8607978258974976,0.025372868,0.14676389,0.1176213,-0.22995718,0.11118398,-0.035201978,0.09728153,-0.045429762,0.1649855,0.18761584,0.25908414,0.05322652,14,1.0631161,2497.0928,14.258291,1033.0878,14.563515,1247.7305,13.78911,0.7744045,-33.78062,5.532904,1.1959567,0.00043480008,0,False,1054.9048462513713,0.9140372442806628,1,1.135904491178795,[-706.07519631  656.05927703 -428.79864367],[-276.07519631 7517.05927703 3383.20135633],8247.936051274086,15.168168218020583,5746.440859077427,3204.1816743530853,4973.940727106837,,,
15,918,342458019052301440,29.155290904050027,0.043381512,37.115086366183725,0.04495296,0.733953552960681,0.051458497,14.26302,5.3427153,-4.7678694351967685,0.055487815,-2.410815208230193,0.06419564,0.15404093,0.21073034,-0.10524085,0.120523125,-0.13405487,0.062325243,-0.035730887,0.1009698,0.2493703,0.3007924,0.18804051,14,1.174498,1143.325,16.160625,107.5874,16.430387,78.11167,15.570145,0.86024284,40.29088222020965,,1.2907828,0.0009496304,0,False,1362.4840372611038,0.9999960326257316,1,0.9667305208360313,[-912.16921717  847.5003203  -553.22082222],[-482.16921717 7708.5003203  3258.77917778],8382.905586464174,150.1377034081088,5837.799353545858,3256.6601710147784,5058.39592260608,5.342715500503236,40.57599202007366,0.7081846580132305
16,973,342459182988161664,29.36148686850495,0.058611162,37.07497420332122,0.06362679,1.0182123398572611,0.06809014,14.953889,4.0991325,-2.682204503289681,0.07342127,-3.0997851819919005,0.082493894,0.22517635,0.24610752,-0.14199664,-0.02811161,-0.04151149,-0.052776773,-0.17952426,-0.004237882,0.0872717,0.28887576,0.0,14,0.9646738,1016.08887,16.909212,125.58689,17.576109,212.41057,16.124939,1.45117,22.16538111932659,,1.2591887,0.0010685445,0,False,982.1134166771008,0.9998432205826364,1,0.7115755082995803,[-659.51911807  608.8040014  -398.67152394],[-229.51911807 7469.8040014  3413.32847606],8215.927344512855,-16.84053854321064,5713.0167292908445,3214.06196497162,4953.050339586684,4.099132734123647,40.725425005909365,0.7107927556271496
17,1058,342460630392416384,29.46589118641374,0.013226575,37.11153321762969,0.013333549,0.7490945035290136,0.015275131,49.040134,5.0526824,-4.190831322323895,0.01766383,-2.8225042318778804,0.017995859,0.17428117,0.118641965,0.102993816,0.026668841,0.00974945,-0.0066406704,0.04876999,-0.053108763,0.22915877,0.22762066,0.0,14,1.0544461,3962.1309,13.543036,1068.9241,13.86051,1638.1206,13.058157,0.8023529,-42.71786,5.654409,1.1992581,0.00027402834,0,True,1334.945050709838,0.99998655391348,1,1.3862529190065387,[-897.96413469  826.69735987 -540.65717087],[-467.96413469 7687.69735987 3271.34282913],8367.876972921602,135.1090898655366,5809.897907651907,3282.5177954444457,5048.913572166207,,,
18,1141,342462279659847168,29.473882151590114,0.028372908,37.20409755812636,0.031944327,1.040044617647202,0.035390474,29.387701,5.4690137,-1.865195258894866,0.036304433,-5.141124127825248,0.039244216,0.21969655,0.20897363,-0.17043379,-0.05466724,-0.17042173,-0.07157679,-0.15388247,-0.10314057,0.15937407,0.29231337,0.074325316,13,1.0930669,2861.5476,15.301554,390.29318,15.741741,429.60135,14.693406,1.0483351,28.80566423069306,,1.2205036,0.0003794227,0,False,961.4972117852104,0.9964730138411072,1,0.9102854084403751,[-646.99008548  596.08974995 -388.01768977],[-216.99008548 7457.08974995 3423.98231023],8208.466793302952,-24.301089753113047,5691.795445937583,3216.8387269589803,4963.299336439257,5.469013681781277,40.869034388957495,0.7132992121980971
19,1142,342462314019585024,29.47588627010173,0.037702687,37.20802046891906,0.040733352,0.9423711200326134,0.048238117,19.53582,6.177552,-4.386481390976199,0.046661932,-4.349819523449764,0.049568202,0.12920588,0.28876987,-0.23281758,0.0035408568,-0.18948223,-0.01804445,-0.17696603,-0.18171217,0.20628567,0.23401648,0.0,12,1.0103109,1870.8673,15.856481,246.91528,16.321377,535.63293,15.217557,1.1038198,35.90590348006388,,1.2308143,0.0005803384,0,False,1061.153062463748,0.9999927590547596,1,0.8598409404227378,[-714.07706278  657.88769231 -428.16300015],[-284.07706278 7518.88769231 3383.83699985],8250.13483215159,17.366949095525342,5720.277840742648,3233.2001586356587,4988.944067394216,6.177552013537824,40.87226173858935,0.7133555400752861
